"Rank","Name","Symbol","marketcap","price (USD)","country"
"187","adesso SE","ADN1.DE","503806636","77.2678","Germany"
"188","BayWa","BYW.F","494833801","24.6995","Germany"
"189","Villeroy &amp; Boch","VIB3.DE","491338842","18.5246","Germany"
"190","EnviTec Biogas","ETG.DE","490131165","33.0055","Germany"
"191","Medios AG","ILM1.DE","486141447","19.0601","Germany"
"192","Lilium","LILM","471368096","0.7576","Germany"
"193","Instone Real Estate Group","INS.DE","442221954","10.2077","Germany"
"194","Borussia Dortmund","BVB.F","435516783","3.91803","Germany"
"195","Simona","SIM0.F","429931080","71.6552","Germany"
"196","init innovation in traffic systems","IXX.DE","418345513","42.5137","Germany"
"197","STEICO SE","ST5.DE","417117867","29.6175","Germany"
"198","SNP Schneider-Neureither &amp; Partner","SHF.DE","413904087","56.8306","Germany"
"199","New Work","NWO.F","401109019","71.3661","Germany"
"200","Friedrich Vorwerk Group","VH2.DE","397377049","19.8689","Germany"
"201","2G Energy AG","2GB.DE","381543589","21.2678","Germany"
"202","SFC Energy AG","F3C.DE","372702811","21.4645","Germany"
"203","Branicks Group","DIC.DE","364668713","4.30055","Germany"
"204","DATAGROUP SE","D6H.DE","361912656","43.3333","Germany"
"205","Knaus Tabbert AG","KTA.DE","357294234","34.3169","Germany"
"206","Stemmer Imaging","S9I.DE","341693972","52.5683","Germany"
"207","Brockhaus Technologies","BKHT.DE","341428739","32.3497","Germany"
"208","PSI Software","PSAN.DE","332611148","21.4754","Germany"
"209","WCM Beteiligungs- und Grundbesitz","WCMK.DE","314122981","2.08743","Germany"
"210","Basler Aktiengesellschaft","BSL.DE","310408044","10.0437","Germany"
"211","MYT Netherlands Parent (Mytheresa)","MYTE","308151424","3.63","Germany"
"212","ElringKlinger","ZIL2.DE","301219672","4.7541","Germany"
"213","JDC Group AG","JDC.DE","297936052","22.9508","Germany"
"214","OVB Holding","O4B.DE","295928621","20.765","Germany"
"215","VIB Vermögen","VIH1.F","292614505","8.85246","Germany"
"216","Bijou Brigitte","BIJ.DE","291962020","37.9235","Germany"
"217","M1 Kliniken AG","M12.DE","283230549","14.8087","Germany"
"218","Bertrandt","BDT.DE","273903126","27.1038","Germany"
"219","MAX Automation","MXHN.DE","270445902","6.55738","Germany"
"220","Bitcoin Group","ADE.DE","267213115","53.4426","Germany"
"221","IVU Traffic Technologies","IVU.DE","266921093","15.3005","Germany"
"222","PharmaSGP","PSG.DE","264701692","22.0765","Germany"
"223","All for One Group","A1OS.DE","260261858","52.2404","Germany"
"224","Uzin Utz","UZU.DE","255799397","50.7104","Germany"
"225","Hawesko","HAW.DE","250357054","27.8689","Germany"
"226","FRIWO","CEA.DE","242491803","28.1967","Germany"
